,County,PCP,Year,Month
330,Amador County,6.51,2018,Noc
331,Amador County,3.18,2018,Dec
332,Amador County,8.17,2019,Jan
333,Amador County,14.48,2019,Feb
334,Amador County,7.18,2019,Mar
335,Amador County,2.14,2019,Apr
336,Amador County,5.69,2019,May
337,Amador County,0.08,2019,Jun
338,Amador County,0.03,2019,Jul
339,Amador County,0.0,2019,Aug
340,Amador County,1.13,2019,Sep
341,Amador County,0.03,2019,Oct
342,Amador County,2.08,2019,Noc
343,Amador County,7.64,2019,Dec
344,Amador County,2.4,2020,Jan
345,Amador County,0.06,2020,Feb
346,Amador County,7.1,2020,Mar
347,Amador County,3.43,2020,Apr
348,Amador County,2.24,2020,May
349,Amador County,0.15,2020,Jun
350,Amador County,0.03,2020,Jul
351,Amador County,0.04,2020,Aug
352,Amador County,0.04,2020,Sep
353,Amador County,0.01,2020,Oct
354,Butte County,2.21,2011,Jan
355,Butte County,8.18,2011,Feb
356,Butte County,13.31,2011,Mar
357,Butte County,1.25,2011,Apr
358,Butte County,4.77,2011,May
359,Butte County,2.76,2011,Jun
360,Butte County,0.0,2011,Jul
361,Butte County,0.0,2011,Aug
362,Butte County,0.14,2011,Sep
363,Butte County,3.55,2011,Oct
364,Butte County,2.24,2011,Noc
365,Butte County,0.32,2011,Dec
366,Butte County,7.48,2012,Jan
367,Butte County,2.66,2012,Feb
368,Butte County,11.54,2012,Mar
369,Butte County,4.99,2012,Apr
370,Butte County,0.14,2012,May
371,Butte County,0.59,2012,Jun
372,Butte County,0.01,2012,Jul
373,Butte County,0.01,2012,Aug
374,Butte County,0.0,2012,Sep
375,Butte County,2.18,2012,Oct
376,Butte County,9.94,2012,Noc
377,Butte County,13.92,2012,Dec
378,Butte County,1.19,2013,Jan
379,Butte County,0.87,2013,Feb
380,Butte County,2.57,2013,Mar
381,Butte County,0.93,2013,Apr
382,Butte County,0.76,2013,May
383,Butte County,1.42,2013,Jun
384,Butte County,0.0,2013,Jul
385,Butte County,0.03,2013,Aug
386,Butte County,1.26,2013,Sep
387,Butte County,0.45,2013,Oct
388,Butte County,2.22,2013,Noc
389,Butte County,0.49,2013,Dec
390,Butte County,0.84,2014,Jan
391,Butte County,10.04,2014,Feb
392,Butte County,9.06,2014,Mar
393,Butte County,1.36,2014,Apr
394,Butte County,0.51,2014,May
395,Butte County,0.0,2014,Jun
396,Butte County,0.03,2014,Jul
397,Butte County,0.49,2014,Aug
398,Butte County,0.72,2014,Sep
399,Butte County,1.88,2014,Oct
400,Butte County,4.36,2014,Noc
401,Butte County,14.43,2014,Dec
402,Butte County,0.21,2015,Jan
403,Butte County,4.58,2015,Feb
404,Butte County,0.58,2015,Mar
405,Butte County,2.24,2015,Apr
406,Butte County,0.29,2015,May
407,Butte County,0.22,2015,Jun
408,Butte County,0.06,2015,Jul
409,Butte County,0.07,2015,Aug
410,Butte County,0.27,2015,Sep
411,Butte County,0.64,2015,Oct
412,Butte County,3.8,2015,Noc
413,Butte County,7.78,2015,Dec
414,Butte County,14.46,2016,Jan
415,Butte County,1.94,2016,Feb
416,Butte County,12.92,2016,Mar
417,Butte County,1.92,2016,Apr
418,Butte County,0.99,2016,May
419,Butte County,0.52,2016,Jun
420,Butte County,0.0,2016,Jul
421,Butte County,0.0,2016,Aug
422,Butte County,0.01,2016,Sep
423,Butte County,9.1,2016,Oct
424,Butte County,4.22,2016,Noc
425,Butte County,9.88,2016,Dec
426,Butte County,16.25,2017,Jan
427,Butte County,15.79,2017,Feb
428,Butte County,5.65,2017,Mar
429,Butte County,6.4,2017,Apr
430,Butte County,0.38,2017,May
431,Butte County,0.92,2017,Jun
432,Butte County,0.0,2017,Jul
433,Butte County,0.01,2017,Aug
434,Butte County,0.41,2017,Sep
435,Butte County,0.7,2017,Oct
436,Butte County,9.49,2017,Noc
437,Butte County,0.41,2017,Dec
438,Butte County,6.19,2018,Jan
439,Butte County,0.62,2018,Feb
440,Butte County,10.05,2018,Mar
441,Butte County,5.39,2018,Apr
442,Butte County,0.52,2018,May
443,Butte County,0.02,2018,Jun
444,Butte County,0.01,2018,Jul
445,Butte County,0.0,2018,Aug
446,Butte County,0.0,2018,Sep
447,Butte County,0.99,2018,Oct
448,Butte County,6.08,2018,Noc
449,Butte County,4.64,2018,Dec
450,Butte County,12.01,2019,Jan
451,Butte County,19.53,2019,Feb
452,Butte County,9.06,2019,Mar
453,Butte County,2.64,2019,Apr
454,Butte County,5.13,2019,May
455,Butte County,0.12,2019,Jun
456,Butte County,0.0,2019,Jul
457,Butte County,0.01,2019,Aug
458,Butte County,1.54,2019,Sep
459,Butte County,0.06,2019,Oct
460,Butte County,1.44,2019,Noc
461,Butte County,8.56,2019,Dec
462,Butte County,4.06,2020,Jan
463,Butte County,0.04,2020,Feb
464,Butte County,3.53,2020,Mar
465,Butte County,1.92,2020,Apr
466,Butte County,3.65,2020,May
467,Butte County,0.22,2020,Jun
468,Butte County,0.01,2020,Jul
469,Butte County,0.04,2020,Aug
470,Butte County,0.0,2020,Sep
471,Butte County,0.01,2020,Oct
472,Calaveras County,2.9,2011,Jan
473,Calaveras County,6.44,2011,Feb
474,Calaveras County,12.04,2011,Mar
475,Calaveras County,1.15,2011,Apr
476,Calaveras County,2.63,2011,May
477,Calaveras County,1.97,2011,Jun
478,Calaveras County,0.03,2011,Jul
479,Calaveras County,0.0,2011,Aug
480,Calaveras County,0.2,2011,Sep
481,Calaveras County,3.02,2011,Oct
482,Calaveras County,1.63,2011,Noc
483,Calaveras County,0.1,2011,Dec
484,Calaveras County,4.55,2012,Jan
485,Calaveras County,2.02,2012,Feb
486,Calaveras County,7.69,2012,Mar
487,Calaveras County,4.87,2012,Apr
488,Calaveras County,0.13,2012,May
489,Calaveras County,0.51,2012,Jun
490,Calaveras County,0.15,2012,Jul
491,Calaveras County,0.02,2012,Aug
492,Calaveras County,0.19,2012,Sep
493,Calaveras County,1.21,2012,Oct
494,Calaveras County,6.41,2012,Noc
495,Calaveras County,10.04,2012,Dec
496,Calaveras County,1.29,2013,Jan
497,Calaveras County,0.83,2013,Feb
498,Calaveras County,2.75,2013,Mar
499,Calaveras County,1.54,2013,Apr
500,Calaveras County,0.6,2013,May
501,Calaveras County,0.59,2013,Jun
502,Calaveras County,0.01,2013,Jul
503,Calaveras County,0.0,2013,Aug
504,Calaveras County,0.76,2013,Sep
505,Calaveras County,0.31,2013,Oct
506,Calaveras County,1.64,2013,Noc
507,Calaveras County,0.82,2013,Dec
508,Calaveras County,1.31,2014,Jan
509,Calaveras County,8.13,2014,Feb
510,Calaveras County,4.52,2014,Mar
511,Calaveras County,2.37,2014,Apr
512,Calaveras County,0.63,2014,May
513,Calaveras County,0.01,2014,Jun
514,Calaveras County,0.06,2014,Jul
515,Calaveras County,0.04,2014,Aug
516,Calaveras County,0.87,2014,Sep
517,Calaveras County,0.68,2014,Oct
518,Calaveras County,3.27,2014,Noc
519,Calaveras County,7.67,2014,Dec
520,Calaveras County,0.13,2015,Jan
521,Calaveras County,5.26,2015,Feb
522,Calaveras County,0.64,2015,Mar
523,Calaveras County,2.64,2015,Apr
524,Calaveras County,1.18,2015,May
525,Calaveras County,0.2,2015,Jun
526,Calaveras County,0.08,2015,Jul
527,Calaveras County,0.01,2015,Aug
528,Calaveras County,0.04,2015,Sep
529,Calaveras County,1.8,2015,Oct
530,Calaveras County,5.26,2015,Noc
531,Calaveras County,8.02,2015,Dec
532,Calaveras County,9.56,2016,Jan
533,Calaveras County,1.4,2016,Feb
534,Calaveras County,8.43,2016,Mar
535,Calaveras County,3.09,2016,Apr
536,Calaveras County,0.58,2016,May
537,Calaveras County,0.01,2016,Jun
538,Calaveras County,0.0,2016,Jul
539,Calaveras County,0.0,2016,Aug
540,Calaveras County,0.03,2016,Sep
541,Calaveras County,7.31,2016,Oct
542,Calaveras County,3.69,2016,Noc
