County,Temp,Year,Total Pcp
Solano,61.6,2019,28.79
Sonoma,55.9,2011,32.85
Sonoma,56.9,2012,51.03
Sonoma,57.5,2013,10.12
Sonoma,59.7,2014,44.19
Sonoma,59.4,2015,21.43
Sonoma,58.2,2016,49.56
Sonoma,58.5,2017,52.76
Sonoma,58.1,2018,36.02
Sonoma,57.9,2019,57.85
Stanislaus,59.9,2011,11.89
Stanislaus,61.9,2012,14.2
Stanislaus,61.9,2013,4.37
Stanislaus,64,2014,14.42
Stanislaus,63.1,2015,8.63
Stanislaus,63.2,2016,18.04
Stanislaus,63.4,2017,16.82
Stanislaus,62.9,2018,13.57
Stanislaus,62.4,2019,17.77
Sutter,61.3,2011,18.17
Sutter,63.3,2012,22.78
Sutter,63.5,2013,6.57
Sutter,65.6,2014,20.03
Sutter,65,2015,8.87
Sutter,64.3,2016,21.39
Sutter,64.6,2017,25.41
Sutter,63.7,2018,17.61
Sutter,63.3,2019,28.23
Tehama,57.2,2011,29.58
Tehama,58.8,2012,43.09
Tehama,60,2013,11.42
Tehama,61.5,2014,42.34
Tehama,61.3,2015,19.56
Tehama,59.7,2016,47.99
Tehama,60.1,2017,40.84
Tehama,60.1,2018,30.58
Tehama,58.8,2019,48.44
Trinity,51.2,2011,46.77
Trinity,52.6,2012,69
Trinity,53.4,2013,19.11
Trinity,55.4,2014,55.3
Trinity,55.6,2015,43.21
Trinity,54,2016,74.92
Trinity,53.7,2017,67.76
Trinity,53.8,2018,39.76
Trinity,52.9,2019,66.14
Tulare,53.2,2011,17.94
Tulare,55.6,2012,18.29
Tulare,55.6,2013,6.87
Tulare,57.6,2014,14.47
Tulare,56.2,2015,15.27
Tulare,55.8,2016,19.73
Tulare,56,2017,27.33
Tulare,55.9,2018,16.35
Tulare,54.2,2019,29.53
Tuolumne,48.5,2011,38.92
Tuolumne,51.5,2012,42.11
Tuolumne,51,2013,12.64
Tuolumne,53.1,2014,30.42
Tuolumne,52.5,2015,30.01
Tuolumne,51.8,2016,45.14
Tuolumne,51.8,2017,64.58
Tuolumne,51.9,2018,37.4
Tuolumne,49.8,2019,52.12
Ventura,57,2011,16.52
Ventura,58.9,2012,12.34
Ventura,59.4,2013,4.93
Ventura,61,2014,14.86
Ventura,60.7,2015,6.82
Ventura,59.7,2016,16.14
Ventura,60.3,2017,20.91
Ventura,59.5,2018,14.24
Ventura,58.2,2019,31.01
Yolo,60.5,2011,18.92
Yolo,62.2,2012,25.72
Yolo,62.5,2013,5.79
Yolo,64.7,2014,21.62
Yolo,63.9,2015,9.19
Yolo,63.1,2016,22.92
Yolo,63.1,2017,30.74
Yolo,62.4,2018,17.84
Yolo,62.2,2019,33.14
Yuba,59.1,2011,33.62
Yuba,61.1,2012,48.71
Yuba,61.5,2013,11.15
Yuba,63.4,2014,38.61
Yuba,63,2015,19.52
Yuba,61.7,2016,46.73
Yuba,62.3,2017,55.01
Yuba,62,2018,33.66
Yuba,60.9,2019,52.15
