County,Date,PCP
Siskiyou County,201612,6.44
Siskiyou County,201701,10.61
Siskiyou County,201702,11.9
Siskiyou County,201703,5.29
Siskiyou County,201704,4.81
Siskiyou County,201705,0.76
Siskiyou County,201706,0.89
Siskiyou County,201707,0.06
Siskiyou County,201708,0.46
Siskiyou County,201709,0.45
Siskiyou County,201710,1.07
Siskiyou County,201711,6.23
Siskiyou County,201712,1.09
Siskiyou County,201801,4.34
Siskiyou County,201802,1.22
Siskiyou County,201803,5.58
Siskiyou County,201804,3.66
Siskiyou County,201805,1.97
Siskiyou County,201806,0.34
Siskiyou County,201807,0.29
Siskiyou County,201808,0
Siskiyou County,201809,0.21
Siskiyou County,201810,0.97
Siskiyou County,201811,3.36
Siskiyou County,201812,4.29
Siskiyou County,201901,6.39
Siskiyou County,201902,11.59
Siskiyou County,201903,4.18
Siskiyou County,201904,3.5
Siskiyou County,201905,3.27
Siskiyou County,201906,0.13
Siskiyou County,201907,0
Siskiyou County,201908,0.78
Siskiyou County,201909,1.95
Siskiyou County,201910,0.94
Siskiyou County,201911,1.4
Siskiyou County,201912,5.36
Siskiyou County,202001,6.37
Siskiyou County,202002,0.43
Siskiyou County,202003,2.09
Siskiyou County,202004,0.93
Siskiyou County,202005,3.38
Siskiyou County,202006,0.63
Siskiyou County,202007,0.35
Siskiyou County,202008,0.6
Siskiyou County,202009,0.11
Siskiyou County,202010,0.26
Solano County,201101,1.52
Solano County,201102,4
Solano County,201103,6.88
Solano County,201104,0.24
Solano County,201105,1.03
Solano County,201106,0.77
Solano County,201107,0
Solano County,201108,0
Solano County,201109,0.01
Solano County,201110,1.16
Solano County,201111,1.33
Solano County,201112,0.22
Solano County,201201,3.41
Solano County,201202,1.05
Solano County,201203,5.7
Solano County,201204,2.29
Solano County,201205,0.02
Solano County,201206,0.05
Solano County,201207,0.01
Solano County,201208,0
Solano County,201209,0.01
Solano County,201210,1.08
Solano County,201211,4.48
Solano County,201212,6.78
Solano County,201301,0.72
Solano County,201302,0.28
Solano County,201303,0.73
Solano County,201304,0.84
Solano County,201305,0.24
Solano County,201306,0.24
Solano County,201307,0
Solano County,201308,0
Solano County,201309,0.58
Solano County,201310,0
Solano County,201311,0.99
Solano County,201312,0.48
Solano County,201401,0.13
Solano County,201402,5.7
Solano County,201403,1.96
Solano County,201404,1.88
Solano County,201405,0.01
Solano County,201406,0
Solano County,201407,0.01
Solano County,201408,0.04
Solano County,201409,0.48
Solano County,201410,0.48
Solano County,201411,1.74
Solano County,201412,9.61
Solano County,201501,0.02
Solano County,201502,2.54
Solano County,201503,0.17
Solano County,201504,1.18
Solano County,201505,0.09
Solano County,201506,0.15
Solano County,201507,0.02
Solano County,201508,0.01
Solano County,201509,0.05
Solano County,201510,0.21
Solano County,201511,1.59
Solano County,201512,2.71
Solano County,201601,6.71
Solano County,201602,0.62
Solano County,201603,5.91
Solano County,201604,1
Solano County,201605,0.33
Solano County,201606,0
Solano County,201607,0
Solano County,201608,0
Solano County,201609,0
Solano County,201610,2.94
Solano County,201611,1.55
Solano County,201612,3.8
Solano County,201701,12.48
Solano County,201702,9.13
Solano County,201703,3.05
Solano County,201704,2.86
Solano County,201705,0.05
Solano County,201706,0.26
Solano County,201707,0
Solano County,201708,0.01
Solano County,201709,0.02
Solano County,201710,0.17
Solano County,201711,2.48
Solano County,201712,0.06
Solano County,201801,3.98
Solano County,201802,0.29
Solano County,201803,4.93
Solano County,201804,2.3
Solano County,201805,0.06
Solano County,201806,0
Solano County,201807,0.01
Solano County,201808,0
Solano County,201809,0
Solano County,201810,0.2
Solano County,201811,3.32
Solano County,201812,2.25
Solano County,201901,5.94
Solano County,201902,8.8
Solano County,201903,4.52
Solano County,201904,0.34
Solano County,201905,2.39
Solano County,201906,0
Solano County,201907,0
Solano County,201908,0
Solano County,201909,0.09
Solano County,201910,0
Solano County,201911,0.82
Solano County,201912,5.89
Solano County,202001,1.41
Solano County,202002,0
Solano County,202003,1.42
Solano County,202004,0.93
Solano County,202005,0.57
Solano County,202006,0
Solano County,202007,0
Solano County,202008,0.05
Solano County,202009,0
Solano County,202010,0
Sonoma County,201101,2.4
Sonoma County,201102,6.78
Sonoma County,201103,13.06
Sonoma County,201104,0.71
Sonoma County,201105,2.61
Sonoma County,201106,1.38
Sonoma County,201107,0.02
Sonoma County,201108,0
Sonoma County,201109,0.01
Sonoma County,201110,2.46
Sonoma County,201111,3.14
Sonoma County,201112,0.28
Sonoma County,201201,8.08
Sonoma County,201202,2.3
Sonoma County,201203,10.39
Sonoma County,201204,2.9
Sonoma County,201205,0.24
Sonoma County,201206,0.04
Sonoma County,201207,0.01
Sonoma County,201208,0
Sonoma County,201209,0
Sonoma County,201210,2
Sonoma County,201211,10.85
Sonoma County,201212,14.22
Sonoma County,201301,1.22
Sonoma County,201302,0.56
Sonoma County,201303,2.33
Sonoma County,201304,1.67
Sonoma County,201305,0.29
Sonoma County,201306,1.21
Sonoma County,201307,0.02
Sonoma County,201308,0.01
Sonoma County,201309,0.69
Sonoma County,201310,0
Sonoma County,201311,1.51
Sonoma County,201312,0.61
Sonoma County,201401,0.25
Sonoma County,201402,12.65
Sonoma County,201403,5.42
Sonoma County,201404,1.84
Sonoma County,201405,0.05
Sonoma County,201406,0
Sonoma County,201407,0.02
Sonoma County,201408,0.08
Sonoma County,201409,0.89
Sonoma County,201410,1.05
Sonoma County,201411,4.16
Sonoma County,201412,17.78
Sonoma County,201501,0.19
Sonoma County,201502,5.47
Sonoma County,201503,0.28
Sonoma County,201504,2.07
Sonoma County,201505,0.18
Sonoma County,201506,0.18
Sonoma County,201507,0.08
Sonoma County,201508,0.06
Sonoma County,201509,0.62
Sonoma County,201510,0.18
Sonoma County,201511,2.01
Sonoma County,201512,10.11
Sonoma County,201601,12.73
Sonoma County,201602,1.33
Sonoma County,201603,12.23
Sonoma County,201604,1.57
Sonoma County,201605,0.39
Sonoma County,201606,0.15
Sonoma County,201607,0
Sonoma County,201608,0.01
Sonoma County,201609,0
Sonoma County,201610,8.13
Sonoma County,201611,5.1
Sonoma County,201612,7.92
Sonoma County,201701,19.58
Sonoma County,201702,15.74
Sonoma County,201703,4.38
Sonoma County,201704,5.3
Sonoma County,201705,0.06
Sonoma County,201706,0.42
Sonoma County,201707,0
Sonoma County,201708,0.01
Sonoma County,201709,0.13
Sonoma County,201710,0.44
Sonoma County,201711,6.51
Sonoma County,201712,0.19
Sonoma County,201801,7.92
Sonoma County,201802,0.59
Sonoma County,201803,7.9
Sonoma County,201804,6.49
Sonoma County,201805,0.3
Sonoma County,201806,0
Sonoma County,201807,0
Sonoma County,201808,0.01
Sonoma County,201809,0.12
Sonoma County,201810,1.54
Sonoma County,201811,6.08
Sonoma County,201812,5.07
Sonoma County,201901,9.67
Sonoma County,201902,19.45
Sonoma County,201903,8.79
Sonoma County,201904,2.4
Sonoma County,201905,4.67
Sonoma County,201906,0
Sonoma County,201907,0
Sonoma County,201908,0.02
Sonoma County,201909,0.2
Sonoma County,201910,0.05
Sonoma County,201911,1.59
Sonoma County,201912,11.01
Sonoma County,202001,3.92
Sonoma County,202002,0.01
Sonoma County,202003,1.81
Sonoma County,202004,1.31
Sonoma County,202005,2.04
Sonoma County,202006,0
Sonoma County,202007,0.01
Sonoma County,202008,0.2
Sonoma County,202009,0
Sonoma County,202010,0
Stanislaus County,201101,1.31
Stanislaus County,201102,2.77
Stanislaus County,201103,4.25
Stanislaus County,201104,0.16
Stanislaus County,201105,0.79
Stanislaus County,201106,0.5
Stanislaus County,201107,0
Stanislaus County,201108,0
Stanislaus County,201109,0.01
Stanislaus County,201110,1.15
Stanislaus County,201111,0.83
Stanislaus County,201112,0.12
Stanislaus County,201201,1.42
Stanislaus County,201202,0.87
Stanislaus County,201203,2.84
Stanislaus County,201204,2.02
Stanislaus County,201205,0.07
Stanislaus County,201206,0.09
Stanislaus County,201207,0.01
Stanislaus County,201208,0
Stanislaus County,201209,0.02
Stanislaus County,201210,0.36
Stanislaus County,201211,2.13
Stanislaus County,201212,4.37
Stanislaus County,201301,1.07
Stanislaus County,201302,0.37
Stanislaus County,201303,0.86
Stanislaus County,201304,0.47
Stanislaus County,201305,0.09
Stanislaus County,201306,0.06
Stanislaus County,201307,0
Stanislaus County,201308,0
Stanislaus County,201309,0.16
Stanislaus County,201310,0.04
Stanislaus County,201311,0.92
Stanislaus County,201312,0.33
Stanislaus County,201401,0.41
Stanislaus County,201402,2.84
Stanislaus County,201403,1.75
Stanislaus County,201404,0.89
Stanislaus County,201405,0.04
Stanislaus County,201406,0
Stanislaus County,201407,0
Stanislaus County,201408,0
