,County,Temp,Year
453,Sutter,65.6,2014
454,Sutter,65.0,2015
455,Sutter,64.3,2016
456,Sutter,64.6,2017
457,Sutter,63.7,2018
458,Sutter,63.3,2019
459,Tehama,57.2,2011
460,Tehama,58.8,2012
461,Tehama,60.0,2013
462,Tehama,61.5,2014
463,Tehama,61.3,2015
464,Tehama,59.7,2016
465,Tehama,60.1,2017
466,Tehama,60.1,2018
467,Tehama,58.8,2019
468,Trinity,51.2,2011
469,Trinity,52.6,2012
470,Trinity,53.4,2013
471,Trinity,55.4,2014
472,Trinity,55.6,2015
473,Trinity,54.0,2016
474,Trinity,53.7,2017
475,Trinity,53.8,2018
476,Trinity,52.9,2019
477,Tulare,53.2,2011
478,Tulare,55.6,2012
479,Tulare,55.6,2013
480,Tulare,57.6,2014
481,Tulare,56.2,2015
482,Tulare,55.8,2016
483,Tulare,56.0,2017
484,Tulare,55.9,2018
485,Tulare,54.2,2019
486,Tuolumne,48.5,2011
487,Tuolumne,51.5,2012
488,Tuolumne,51.0,2013
489,Tuolumne,53.1,2014
490,Tuolumne,52.5,2015
491,Tuolumne,51.8,2016
492,Tuolumne,51.8,2017
493,Tuolumne,51.9,2018
494,Tuolumne,49.8,2019
495,Ventura,57.0,2011
496,Ventura,58.9,2012
497,Ventura,59.4,2013
498,Ventura,61.0,2014
499,Ventura,60.7,2015
500,Ventura,59.7,2016
501,Ventura,60.3,2017
502,Ventura,59.5,2018
503,Ventura,58.2,2019
504,Yolo,60.5,2011
505,Yolo,62.2,2012
506,Yolo,62.5,2013
507,Yolo,64.7,2014
508,Yolo,63.9,2015
509,Yolo,63.1,2016
510,Yolo,63.1,2017
511,Yolo,62.4,2018
512,Yolo,62.2,2019
513,Yuba,59.1,2011
514,Yuba,61.1,2012
515,Yuba,61.5,2013
516,Yuba,63.4,2014
517,Yuba,63.0,2015
518,Yuba,61.7,2016
519,Yuba,62.3,2017
520,Yuba,62.0,2018
521,Yuba,60.9,2019
