County,Date,PCP
Tulare County,201201,3.44
Tulare County,201301,1.44
Tulare County,201401,0.59
Tulare County,201501,0.47
Tulare County,201601,4.99
Tulare County,201701,12.91
Tulare County,201801,1.92
Tulare County,201901,4.55
Tuolumne County,201101,3.07
Tuolumne County,201201,6.25
Tuolumne County,201301,1.28
Tuolumne County,201401,2.22
Tuolumne County,201501,0.14
Tuolumne County,201601,9.76
Tuolumne County,201701,22.84
Tuolumne County,201801,4.59
Tuolumne County,201901,8.22
Ventura County,201101,0.86
Ventura County,201201,1.37
Ventura County,201301,1.46
Ventura County,201401,0.09
Ventura County,201501,1.97
Ventura County,201601,4.78
Ventura County,201701,10.18
Ventura County,201801,2.87
Ventura County,201901,8.17
Yolo County,201101,1.76
Yolo County,201201,3.42
Yolo County,201301,0.83
Yolo County,201401,0.2
Yolo County,201501,0.06
Yolo County,201601,5.95
Yolo County,201701,12.72
Yolo County,201801,4.36
Yolo County,201901,6.44
Yuba County,201101,2.12
Yuba County,201201,5.98
Yuba County,201301,0.92
Yuba County,201401,1.06
Yuba County,201501,0.08
Yuba County,201601,11.66
Yuba County,201701,17.58
Yuba County,201801,6.85
Yuba County,201901,9.52
